final_project_id,source_project_ids,component_pins,project_kind,construction_year,dwelling_units,building_sqft,land_sqft,class_values,geometry_mode,geometry_source_project_id,geometry_year,geometry_component_pins,year_source,units_source,building_source,land_source,membership_source,evidence_ids,decision_reason,confidence
residential_adjudicated_harbor_2021,residential_297_group_17104000490000/residential_297_group_17104000540000,17104000490000/17104000540000,single_building,2022,350,652094,49926,297,reference_point,residential_297_group_17104000540000,2021,,developer_initial_occupancy,developer_building_statistics,developer_building_statistics,developer_site_size,permit_chain_and_successor_condo,permits_100821394_100918242/condo_base_1710400050/https://www.magellandevelopment.com/projects/cirrus/,User approved the developer-reported figures for Cirrus as a separate building from Cascade; first occupancy is 2022 Q1. The historical project identifier is retained.,high
residential_adjudicated_california_2018,residential_tieback_13362320330000,13363230340000,single_building,2018,6,9705,2500,211,component_union,residential_tieback_13362320330000,2018,13363230340000,permit_application_year,completed_permit,stable_successor_assessor,construction_year_parcel,completed_permit_and_successor_assessor,permit_100740325/current_pin_13363230340000,One completed six-unit building at 1716 N California.,high
residential_adjudicated_cullerton_prairie_2017,residential_multicard_17223090140000/residential_multicard_17223090150000/residential_multicard_17223090330000,17223090140000/17223090150000/17223090330000/17223091310000/17223091320000/17223091330000/17223091350000/17223091360000/17223091380000/17223091390000/17223091400000/17223091410000/17223091430000/17223091440000/17223091450000,multibuilding_site,2017,12,34515,18111,295,component_union,,2017,17223090140000/17223090150000/17223090330000,completed_permits,completed_permits,successor_assessor_sum,construction_year_parcel_union,permit_defined_twelve_unit_project,permits_100669467_100669470_100669471_100684885_100684888_100684890,The permits explicitly define three four-unit buildings as one 12-unit townhouse project.,high
residential_adjudicated_vernon_2019,residential_multicard_20034000310000,20034000310000,single_building,2019,5,11903,3698,211,component_union,residential_multicard_20034000310000,2019,20034000310000,permit_application_year,completed_permit,first_complete_assessor_episode,construction_year_parcel,permit_and_assessor_episode,permit_100802189/assessor_episode_2003400031_2019,One five-unit townhouse building at 4330 S Vernon.,high
residential_adjudicated_armitage_2008,residential_multicard_13362280330000,13362280330000,single_building,2008,3,7688,3000,211,component_union,residential_multicard_13362280330000,2008,13362280330000,later_stable_assessor_correction,stable_assessor,stable_assessor,construction_year_parcel,single_stable_assessor_card,assessor_rows_1336228033_2022_2026/permit_100100122,One mixed-use building with three dwellings; later reports consistently correct the year to 2008.,high
residential_adjudicated_dearborn_2007,residential_multicard_17044240600000,17044240600000,single_building,2007,1,5319,929,295,component_union,residential_multicard_17044240600000,2010,17044240600000,stable_assessor_mode,stable_assessor,stable_assessor,stable_assessor,one_persistent_complete_card,assessor_rows_1704424060_2008_2026/address_1011_dearborn,One 2007 building; a transient 2010 year and one duplicated card are discarded.,high
residential_adjudicated_western_2007,residential_multicard_24132240320000,24132240320000,single_building,2007,3,7770,3750,211,component_union,residential_multicard_24132240320000,2007,24132240320000,stable_assessor,final_stable_assessor_and_permit,final_stable_assessor,construction_year_parcel,permit_and_stable_assessor,permit_100106040/assessor_rows_2413224032_2016_2026,One mixed-use building with three dwellings; the later stable physical fields supersede an early transient report.,high
residential_adjudicated_geneva_2007,residential_tieback_14283040840000,14283040840000/14283040940000,single_building,2007,1,5756,5522,205,component_union,residential_tieback_14283040840000,2007,14283040840000,first_complete_assessor_episode,assessor_before_later_addition,assessor_before_later_addition,construction_year_parcel,one_pre_addition_building,permits_100488318_100538073/assessor_rows_1428304084_2008_2014,The 2007 residence is measured before its documented 2013 addition; the later new-construction permit covers accessory storage only.,high
residential_adjudicated_maud_1858_2017,residential_tieback_14324160450000,14324160450000,single_building,2017,1,3220,2504,278,component_union,residential_tieback_14324160450000,2017,14324160450000,completed_permit_year,completed_permit_and_assessor,stable_successor_assessor,construction_year_parcel,completed_address_specific_permit,permit_100681310/current_pin_1432416045,One completed single-family building at 1858 N Maud.,high
residential_adjudicated_maud_1860_2017,residential_tieback_14324160450000,14324160460000,single_building,2017,1,3220,2503,278,component_union,residential_tieback_14324160450000,2017,14324160460000,completed_permit_year,completed_permit_and_assessor,stable_successor_assessor,construction_year_parcel,completed_address_specific_permit,permit_100690208/current_pin_1432416046,One completed single-family building at 1860 N Maud.,high
