project_id,action,source_project_ids,source_family,assessment_rows,defer_to_residential,component_pins,construction_year,dwelling_units,building_sqft,land_sqft,allow_far,allow_dupac,multifamily,units_unusable,building_area_unusable,land_area_unusable,reported_construction_year,reported_land_sqft,evidence_ids,location_source,location_id,location_year,location_target_year,corrected_address,historical_location_pin,historical_location_year,zoning_group,zoning_year,zoning_source,zoning_note,decision_references,decision_reason
commercial_11293000160000,replace,commercial_11293000160000,commercial,70879/44400,NA,11293000160000/11293000170000/11293000180000/11293000190000,2020,38,34385,15011,TRUE,TRUE,NA,NA,NA,NA,NA,NA,permit_100702395/Elevation_Lofts_market_record,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,commercial_component_overrides.csv:row39,The added component completes the 38-unit Elevation Lofts site and the 2020 completion record supersedes the permit-year recode
commercial_11321040200000,update,commercial_11321040200000,commercial,NA,NA,NA,2007,18,24906,17200,TRUE,TRUE,NA,NA,NA,NA,NA,NA,permits_100010473_100010476/inspections_1481062_1481065/commercial_2024_row_44799,parcel_universe_2025,11321040200000,2025,2007,NA,NA,NA,NA,NA,NA,NA,construction_modifications.csv:row273 | commercial_reviewed_locations.csv:row8,The two original new-building permits authorize nine apartments each; both passed construction inspections on June 6 2007. Retain the reported commercial whole-pair building and land measurements and retire the partial six-home residential copy. | Original permits and 2007 passed inspections identify the same completed pair on unchanged exact parcels; use its current primary parcel location with the 2007 ward-map assignment.
commercial_11323200060000,update,commercial_11323200060000,commercial,NA,NA,NA,2021,11,28487,11284,TRUE,TRUE,NA,NA,NA,NA,NA,NA,permit_100802483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,construction_modifications.csv:row277,The completed permit and bedroom breakdown identify eleven apartments; the generic total includes one non-apartment unit
commercial_11323310340000,replace,commercial_11323310340000,commercial,44970,NA,11323310340000,2008,152,200952,31919,TRUE,TRUE,NA,NA,NA,NA,NA,NA,permit_100217431;permit_100221353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,commercial_manual_decisions.csv:row2,Completed permit explicitly describes a 152-unit apartment building
commercial_11323310360000,replace,commercial_11323310360000,commercial,44971,NA,11323310360000,2019,111,100093,45094,TRUE,TRUE,NA,NA,NA,NA,NA,NA,city_demolition_record;concord_at_sheridan_project,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,commercial_manual_decisions.csv:row47,Project records and the later assessor report identify a 111-unit building completed in 2019
commercial_13093170070000,update,commercial_13093170070000,commercial,NA,NA,NA,2020,8,9102,7500,TRUE,TRUE,NA,NA,NA,NA,NA,NA,permit_100752414/commercial_2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,construction_modifications.csv:row262,The later assessor records eight completed apartments rather than the seven units authorized by the earlier permit
commercial_13114290270000,replace,commercial_13114290270000,commercial,25834,NA,13114290270000,2008,4,12455,18750,TRUE,TRUE,NA,NA,NA,NA,NA,NA,permit_100211769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,commercial_manual_decisions.csv:row3,Latest assessor report is used because the conflicting six-unit permit expired
commercial_13134040530000,update,commercial_13134040530000,commercial,NA,NA,NA,2020,9,15477,8100,TRUE,TRUE,NA,NA,NA,NA,NA,NA,permit_100855141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,construction_modifications.csv:row278,The completed permit identifies nine dwelling units and confirms that the source row is residential new construction
commercial_13141220320000,exclude,commercial_13141220320000,commercial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,commercial_manual_decisions.csv:row48,The same preexisting structure persists and the reported 2011 year is an assessor recode
commercial_13142030200000,update,commercial_13142030200000,commercial,NA,NA,NA,2008,60,98988,24835,TRUE,TRUE,NA,NA,NA,NA,NA,NA,permit_100202286/commercial_2024/city_building_footprints,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,construction_modifications.csv:row257,The completed assessor record establishes 60 units while the permit authorized 59
commercial_13143060050000,replace,commercial_13143060050000,commercial,26218,NA,13143060050000/13143060060000,2013,15,14541,15625,TRUE,TRUE,NA,NA,NA,NA,NA,NA,permit_100488245;permit_100488250;permit_100488254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,commercial_manual_decisions.csv:row20,Three completed buildings total 15 units on the assessed site
commercial_13143310300000,update,commercial_13143310300000,commercial,NA,NA,NA,2019,44,45579,23689,TRUE,TRUE,NA,NA,NA,NA,NA,NA,project_manual_reviews.csv:commercial_13143310300000,NA,NA,NA,NA,NA,NA,NA,Planned Development,2019,ordinance_history,"Ordinance 19273 was adopted in 2017, before the corrected 2019 construction year.",construction_modifications.csv:row305 | corrected_year_zoning_decisions.csv:row2,"Independence Apartments is a new 44-unit building completed and opened in 2019, not 2020. | Ordinance 19273 was adopted in 2017, before the corrected 2019 construction year."
commercial_13164300370000,exclude,commercial_13164300370000,commercial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,commercial_manual_decisions.csv:row49,The permit converts existing commercial spaces and does not construct a new residential building
commercial_13184090850000,update,commercial_13184090850000,commercial,NA,NA,NA,2007,133,128542,163748,TRUE,TRUE,NA,NA,NA,NA,NA,NA,commercial_two_vintage_history/city_buildings,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,construction_modifications.csv:row279,The source reports 133 senior apartments rather than beds and the physical fields are stable across vintages
commercial_13184090870000,update,commercial_13184090870000,commercial,NA,NA,NA,2010,36,64992,25272,TRUE,TRUE,NA,NA,NA,NA,NA,NA,commercial_two_vintage_history/CHA_Autumn_Green,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,construction_modifications.csv:row280,The source and housing record identify 36 senior apartments rather than beds
commercial_13203280120000_building_a,replace,commercial_13203280120000,commercial,47038,NA,13203280120000,2021,27,36390,16875,TRUE,TRUE,NA,NA,NA,NA,NA,NA,permit_100828071/permit_100843653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,commercial_component_overrides.csv:row5,The 2024 48-unit rollup is replaced by the first separately measured building and its final 27-unit revision
commercial_13203280130000_building_b,replace,commercial_13203280120000,commercial,47039,NA,13203280130000/13203280140000/13203280150000,2021,27,36390,15365,TRUE,TRUE,NA,NA,NA,NA,NA,NA,permit_100828073/permit_100843655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,commercial_component_overrides.csv:row6,The 2024 48-unit rollup is replaced by the second separately measured building and its final 27-unit revision
commercial_13222030300000,replace,commercial_13222030300000,commercial,26554,NA,13222030020000/13222030300000,2015,27,24388,9594,TRUE,TRUE,NA,NA,NA,NA,NA,NA,permit_100612738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,commercial_manual_decisions.csv:row68,Completed permit identifies the 27-unit project built in 2015 and the old card is a predecessor structure
commercial_13241160430000,replace,commercial_13241160180000/commercial_13241160430000,commercial,47235/26670,NA,13241160180000/13241160190000/13241160200000,2008,26,42056,12405,TRUE,TRUE,NA,NA,NA,NA,NA,NA,commercial_duplicate_review_001/city_building_893574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,commercial_component_overrides.csv:row2,The 2024 PIN is the successor identity and the 2008 predecessor parcels recover the full project site
commercial_13252200010000,replace,commercial_13252200010000,commercial,59283,NA,13252200010000/13252200020000/13252200030000,2014,9,15917,5255,TRUE,TRUE,NA,NA,NA,NA,NA,NA,commercial_2024;mls_2943_rockwell,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,commercial_manual_decisions.csv:row50,Assessor and MLS records identify a nine-unit building constructed in 2014
commercial_13253140740000,replace,commercial_13253140740000,commercial,59306,NA,13253140640000/13253140740000/13253140750000,2020,220,258307,108799,TRUE,TRUE,NA,NA,NA,NA,NA,NA,permit_100747866;permit_100769962;permit_100764230;permit_100779277;logan_apartments_project,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,commercial_manual_decisions.csv:row51,Developer and permits identify one two-building 220-unit project completed in March 2020
commercial_13253150250000,update,commercial_13253150250000,commercial,NA,NA,NA,2006,8,10750,6000,TRUE,TRUE,NA,NA,NA,NA,NA,NA,permit_100137585_revision_chain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,construction_modifications.csv:row258,The permit chain revises the authorized count from six to eight units and supersedes the seven-unit assessor count
commercial_13261040230000,replace,commercial_13261040230000,commercial,26698,NA,13261040230000/13261040240000/13261040250000/13261040260000/13261040270000,2022,27,67932,24461,TRUE,TRUE,NA,NA,NA,NA,NA,NA,permit_100801726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,commercial_manual_decisions.csv:row35,Latest assessor report and an active 27-unit new-construction permit agree
commercial_13273040010000,update,commercial_13273040010000,commercial,NA,NA,NA,2008,85,73562,35661,TRUE,TRUE,NA,NA,NA,NA,NA,NA,permit_100254118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,construction_modifications.csv:row281,The completed permit and assessor source agree on 85 senior apartments
commercial_13312050180000,replace,commercial_13312050180000,commercial,27060,NA,13312050180000,2020,39,48612,16031,FALSE,FALSE,NA,NA,NA,NA,NA,NA,commercial_post_evidence/CCAO_key_PIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,commercial_component_overrides.csv:row23,"Keep Natchez C as a separate 39-unit construction group dated 2020. The earlier 16031-square-foot land selection is rejected; Jacob approved density exclusion pending a reliable site boundary on 2026-09-07, recorded in density_denominator_decisions.csv."
commercial_13312140010000,replace,commercial_13312140010000,commercial,27064,NA,13312140010000,2020,84,124620,210101,TRUE,TRUE,NA,NA,NA,NA,NA,NA,permits_100716815_100716830_100716743_100716755_100716809_100716645_100716652_100716661_100716672_100716726_100716766_100716776_100716791_100716823;SO2018-4452;PD1345_2016_pages47_51;2020_parcel_13312140010000;2022_full_site_footprints,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,commercial_manual_decisions.csv:row21,"Retain B separately with its existing Assessor measurements. The 2016 approval defines 14 buildings and 84 units on 207228 square feet; the Assessor site is 210101 square feet from 2018 onward, reproduced by its 2020 polygon. All 14 residential footprints are inside that parcel. This supports the already approved separate-group treatment."
commercial_13361030360000,replace,commercial_13361030360000,commercial,79682/59351,NA,13361030360000/13361030370000/13361030380000/13361030390000/13361030400000/13361030410000/13361030420000/13361030430000/13361030440000,2018,138,131338,31548,TRUE,TRUE,NA,NA,NA,NA,NA,NA,permit_100674376/Noca_Blu_completion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,commercial_component_overrides.csv:row32,The added 2024 component belongs to the same Noca Blu building and the 2018 completion record corrects the reassessment year
commercial_13362100010000_north,replace,commercial_13362100010000,commercial,79715,NA,13362100010000/13362100020000/13362100030000/13362100040000/13362100050000,2017,129,124316,16417,TRUE,TRUE,NA,NA,NA,NA,NA,NA,commercial_manual_decision_mica/developer_MiCA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,commercial_component_overrides.csv:row7,The 216-unit 2024 MiCA rollup is disaggregated to the 129-unit north building measured in 2021
commercial_13362100140000_south,replace,commercial_13362100010000,commercial,79716,NA,13362100140000,2017,87,81092,14414,TRUE,TRUE,NA,NA,NA,NA,NA,NA,commercial_manual_decision_mica/developer_MiCA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,commercial_component_overrides.csv:row8,The 216-unit 2024 MiCA rollup is disaggregated to the 87-unit south building measured in 2021
commercial_13362150350000,replace,commercial_13362150350000,commercial,59391,NA,13362150350000/13362150360000/13362150370000/13362150380000/13362150390000/13362150440000,2015,120,145871,34554,TRUE,TRUE,NA,NA,NA,NA,NA,NA,permit_100588900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,commercial_manual_decisions.csv:row4,Completed permit and the 2021 assessor report identify 120 apartments
