source_project_id,action,final_project_id,decision_reason,evidence_ids,confidence
residential_tieback_13233000050000,exclude_unbuilt,,The only nearby ten-unit new-construction permit expired and the parcel continued to report a 1900 one-unit building.,permit_100170361/current_pin_13233000050000,high
residential_tieback_16134150190000,exclude_not_ground_up,,The permit history describes structural alterations and revisions to an existing building rather than ground-up construction.,permits_100113260_100299112/current_pins_16134150190000_16134150200000,high
residential_tieback_17064340280000,exclude_not_ground_up,,The exact permit history describes deconversion and renovation of an existing building rather than ground-up construction.,permits_2116587_2212722/current_pin_17064340490000,high
residential_tieback_17172000120000,exclude_not_ground_up,,The exact permit history describes alteration of an existing three-story building and provides no ground-up construction permit or demolition.,permits_2082362_2314522/current_pins_17172000120000_17172000130000,high
residential_tieback_14311380110000,exclude_not_ground_up,,Completed permit 100827022 at 2125 W McLean explicitly remodels an existing two-flat with a two-story addition and converts it to one house. The tied parcel 2123 repeats the building area with a 2020 year while 2125 retains 1919. This is alteration and conversion rather than ground-up new construction under the agreed definition.,permit_100827022/permit_B100814586/assessment_2022_2026,high
residential_tieback_17312120510000,exclude_not_ground_up,,The October 2007 permit at 3242 Paulina explicitly adds a second floor and rear addition to an existing single-family residence. Later work is renovation and garage or coach-house removal. The 2008 Assessor date does not identify a wholly new building.,permits_100181387_100569090_100605658,high
residential_297_group_20112050550000,exclude_not_ground_up,,Permit history describes alterations and partial reconstruction of an existing building rather than ground-up construction.,permit_history_4840_s_dorchester,high
residential_297_group_17213050450000,exclude_not_ground_up,,Permit history describes a six-story addition and interior conversion of an existing five-story building rather than ground-up construction.,permit_history_1600_s_jefferson/condo_base_1721305046,high
residential_tieback_17062210310000,exclude_unbuilt,,The only matched new-construction permit expired and neither a successor condominium cohort nor a new city building record confirms completion.,permit_100773601,high
residential_297_group_17092060350000,replace_by_commercial,commercial_17092060390000,Jacob approved one completed One Chicago project with 735 rental apartments and 77 condos on the shared Assessor site. Permit 100785446 covers both towers and the podium with 812 homes. Floor-area coverage remains unresolved; retain homes-per-acre only.,commercial_17092060390000/condo_base_1709206042,high
residential_297_group_17092060370000,replace_by_commercial,commercial_17092060390000,Jacob approved one completed One Chicago project with 735 rental apartments and 77 condos on the shared Assessor site. Permit 100785446 covers both towers and the podium with 812 homes. Floor-area coverage remains unresolved; retain homes-per-acre only.,commercial_17092060390000/condo_base_1709206042,high
residential_297_group_17101300270000,exclude_not_ground_up,,435 N Michigan is Tribune Tower: completed permit 100757281 describes adaptive reuse of an existing landmark office and retail building into 162 condominiums with a four-story addition. The developer confirms conversion of the 1925 tower. This is an existing-building conversion and addition rather than ground-up construction; exclude under the agreed definition.,permit_100757281/permit_100867578/https://golubandcompany.com/portfolio/tribune-tower-residences/,high
residential_297_group_17104000460000,exclude_unbuilt,,Empty development record has no building area or dwelling count. Historical site contains the successor parcels of already retained Cascade and Cirrus; it provides no additional completed building.,historical_2022_1710400046/current_successor_pins_1710400051_1710400052_1710400053_1710400054,high
residential_16043260140000,exclude_recorded_review,,"The property sold as an improved site in 2005, before the sample, and the 2008 footprint records an older structure. No new-building permit or physical replacement supports the Assessor's later construction designation.",https://www.redfin.com/IL/Chicago/5510-W-Chicago-Ave-60651/home/18951857,high
residential_17071120240000,exclude_recorded_review,,"The property sold for $687,500 in 2003 and the official snapshots preserve an older footprint. The Assessor's 2006 year does not identify a new sample-period building.",https://www.redfin.com/IL/Chicago/2001-W-Huron-St-60612/home/14104194,high
residential_13334050100000,exclude_recorded_review,,The 2007 permit deconverts a factory and apartment to a warehouse and extends the second floor; it is not a new residential building.,100165734,high
residential_20032100060000,exclude_recorded_review,,"The building is reported as built in 2005, before the analysis period; the Assessor selected 2007.",https://www.compass.com/homedetails/4017-S-Vincennes-Ave-Chicago-IL-60653/1XBIAK_pid/,medium
residential_13024330230000,exclude_recorded_review,,"Later permits describe an existing restaurant/commercial building, and the 2008 footprint reports 1970; the Assessor's 2008 new-construction designation is not credible.",project_manual_reviews.csv:residential_13024330230000,high
residential_16012130080000,exclude_recorded_review,,"The MLS record identifies the building as dating to 1995, and it sold for $656,000 in June 2006. The persistent older footprint and preperiod transaction outweigh the conflicting 2008 public-record year.",https://www.redfin.com/IL/Chicago/1439-N-Maplewood-Ave-60622/home/26830462,high
residential_16013130540000,exclude_recorded_review,,"The permit describes converting an existing three-unit building to four units, not constructing a new building.",project_manual_reviews.csv:residential_16013130540000,high
residential_14081010440000,exclude_recorded_review,,The site contains an older building and later permits describe work on an existing structure. The 2019 Assessor row reflects a parcel/record change rather than a new building.,https://www.zillow.com/homedetails/5531-N-Clark-St-Chicago-IL-60640/80808809_zpid/,high
residential_297_group_13143320420000,exclude_recorded_review,,The address was an operating auto dealership before and after the claimed year. Nearby new-building permits belong to different addresses and expired; no completed 2021 building is supported at this PIN.,https://www.redfin.com/IL/Chicago/4031-N-Elston-Ave-60618/home/21879783,high
residential_16262070100000,exclude_recorded_review,,The current MLS description states that the building has had one owner since it was built in 2004. That specific ownership history is more informative than the conflicting public-record field that reports 2006.,https://www.redfin.com/IL/Chicago/2215-S-Sawyer-Ave-60623/home/18952018,medium
residential_16133050490000,exclude_recorded_review,,"Unit-level MLS records date the three-unit condominium building to 2005, before the analysis period.",https://www.redfin.com/IL/Chicago/3046-W-Lexington-St-60612/unit-3/home/144935182,high
residential_16133170480000,exclude_recorded_review,,"The unit-level MLS record dates the two-unit building to 2004, before the analysis period.",https://ilfls.com/listing/3015-w-arthington-st-unit-2-chicago-il-60612-124643,high
residential_16134060100000,exclude_recorded_review,,"The building is recorded as three residences completed in 2005 and sold in August 2005, before the analysis period.",https://www.compass.com/homedetails/2535-W-Flournoy-St-Chicago-IL-60612/1X6LVN_pid/,high
residential_20102070400000,exclude_recorded_review,,"Unit-level MLS records date the building to 2005, and the later whole-building listing describes a renovation rather than new construction. The conflicting Assessor year is not sufficient to place it in the sample.",https://www.redfin.com/IL/Chicago/434-E-48th-Pl-60615/home/113099116,medium
residential_16133010550000,exclude_recorded_review,,"The row attaches 3,675 square feet of building area to a 622-square-foot remnant parcel. Public records date the structure to 2010, while related Assessor rows and older snapshots report earlier structures at the same site. It is not a defensible whole-building density observation.",https://www.redfin.com/IL/Chicago/3046-W-Flournoy-St-60612/home/28813622,high
residential_13364310320000,exclude_recorded_review,,"The official 2008 footprint reports a 2005 structure and no demolition, replacement, or new-building permit was found. Public property sites merely repeat the conflicting Assessor year.",https://www.realtor.com/realestateandhomes-detail/1624-N-Artesian-Ave_Chicago_IL_60647_M77730-00388,high
residential_16133010230000,exclude_recorded_review,,"The 2008 and 2015 official snapshots preserve an older footprint reported as 1892/2005, and no demolition, replacement, or new-building permit supports a 2007 project.",project_manual_reviews.csv:residential_16133010230000,high
residential_16133010590000,exclude_recorded_review,,"The 2008 and 2015 official snapshots preserve a footprint reported as 2005, and no demolition, replacement, or new-building permit supports a 2007 project.",project_manual_reviews.csv:residential_16133010590000,high
residential_16133010600000,exclude_recorded_review,,"The 2008 and 2015 official snapshots preserve a footprint reported as 2005, and no demolition, replacement, or new-building permit supports a 2007 project.",project_manual_reviews.csv:residential_16133010600000,high
residential_20231120340000,exclude_recorded_review,,"The official footprint predates the claimed construction year and no demolition, replacement, or new-building permit supports a new sample-period building.",project_manual_reviews.csv:residential_20231120340000,high
residential_17053081080000,exclude_recorded_review,,The property sold before the claimed construction year and the official footprint records an older structure. No replacement or new-building permit was found.,project_manual_reviews.csv:residential_17053081080000,high
residential_17053150600000,exclude_recorded_review,,"The official footprint reports an older structure and no demolition, replacement, or new-building permit supports the conflicting 2007/2009 public-record dates.",project_manual_reviews.csv:residential_17053150600000,high
residential_17211230430000,exclude_recorded_review,,"The later single-card PIN reproduces the 2,302-square-foot second card already counted in the five-card 1460 S Emerald project. Retaining both rows would count the same dwelling twice.",project_manual_reviews.csv:residential_17211230430000,high
residential_25194030320000,exclude_recorded_review,,"The later single-card PIN reproduces the 1,742-square-foot first card already counted in the five-card 11505 S Vincennes project. Retaining both rows would count the same dwelling twice.",project_manual_reviews.csv:residential_25194030320000,high
residential_13351120430000,exclude_recorded_review,,"The listing identifies a full rehabilitation or rebuild in 2006, not a new building. The official footprint remains substantially unchanged, so the Assessor's revised year does not establish new construction.",https://www.redfin.com/IL/Chicago/2200-N-Lawndale-Ave-60647/home/18954267,high
residential_13252160530000,exclude_recorded_review,,The exact PIN is reported as a 1916 structure and the 2008 footprint records the same older building. Nearby new-building permits cannot be assigned to this parcel.,https://www.crexi.com/property-records/13252160530000-CHICAGO-IL-60647/,high
residential_14084150580000,exclude_recorded_review,,"This unit belongs to a six-home townhouse cluster reported as built in 2004. The 2008 footprint also reports 2004, before the analysis period.",https://www.zillow.com/homedetails/4873-N-Winthrop-Ave-Chicago-IL-60640/89896457_zpid/,high
residential_14084150590000,exclude_recorded_review,,"This unit belongs to a six-home townhouse cluster reported as built in 2004. The 2008 footprint also reports 2004, before the analysis period.",https://www.zillow.com/homedetails/4873-N-Winthrop-Ave-Chicago-IL-60640/89896457_zpid/,high
residential_14084150600000,exclude_recorded_review,,"This unit belongs to a six-home townhouse cluster reported as built in 2004. The 2008 footprint also reports 2004, before the analysis period.",https://www.zillow.com/homedetails/4873-N-Winthrop-Ave-Chicago-IL-60640/89896457_zpid/,high
residential_14084150610000,exclude_recorded_review,,"This unit belongs to a six-home townhouse cluster reported as built in 2004. The 2008 footprint also reports 2004, before the analysis period.",https://www.zillow.com/homedetails/4873-N-Winthrop-Ave-Chicago-IL-60640/89896457_zpid/,high
residential_14084150620000,exclude_recorded_review,,"This unit belongs to a six-home townhouse cluster reported as built in 2004. The 2008 footprint also reports 2004, before the analysis period.",https://www.zillow.com/homedetails/4873-N-Winthrop-Ave-Chicago-IL-60640/89896457_zpid/,high
residential_14084150630000,exclude_recorded_review,,"This unit belongs to a six-home townhouse cluster reported as built in 2004. The 2008 footprint also reports 2004, before the analysis period.",https://www.zillow.com/homedetails/4873-N-Winthrop-Ave-Chicago-IL-60640/89896457_zpid/,high
residential_14192160480000,exclude_recorded_review,,"The townhouse was built and sold before 2006. Contemporary records place the five-home cluster in 2003-2004, and the 2008 footprint reports 1995 rather than a sample-period replacement.",https://www.redfin.com/IL/Chicago/1600-W-Grace-St-60613/home/21685300,high
